bundle_id,planned_respondents,expected_time_seconds,num_categories,categories
1,2612,450.08,7,Fertility or IVF service; Chocolate confectionery; Self Tan (Female Only); Healthy Beverages; Big and Tall Men's Clothing; Chocolate; Baby products
2,1220,461.36,6,Breakfast or Health Foods; Baby Feeding; Wealth Management; Online Healthcare; Kitchenware Retailers; Weight-loss
3,1036,436.55,8,"Prescription Eyewear; Car Finance; Massage, beauty and Wellness Services; Accounting Services (Sole Traders); Peanut or Nut Butter; Nappies & wipes; Health & Beauty Retailers; Designer Women's Clothing"
4,896,438.74,8,Car Insurance; Car Rental; Eco Products; Funeral Services; Female Fashion; Luxury Leather Bags/Accessories; Nutrition & Fitness Services; Period Products
5,798,428.72,8,Skincare; Dark Spirits; Healthy Snacks; Camping Equipments; Furniture & Homeware; Car Modifications; Chocolate bars and blocks; Men's Online Health Providers
6,777,476.78,10,Female Skincare; Suncare; Coffee; Baby and Child Products; Natural Health Supplements; Online Betting Services; Buy Now Pay Later (Laybuy); Car & Motorhome Rentals; Fast Food; Craft Beer
7,761,438.99,10,"Free-from Baked Goods; Vocational Training; Shares, funds, and term deposits; Shares, brokers, and trading apps/website; Beddings; Men's Clothing (Male Only); Sugar confectionery; Recruitment; Fresh Coffee; Buy Now Pay Later (Gimmie)"
8,650,413.41,10,"Mattresses, beds, and pillows; Meal Kit Delivery Service; Dog Food; Women's Activewear (Female Only); Outdoor Apparel; Alcohol Free Beer; Real Estate Service; Pre-mixed alcoholic drinks/RTDs; Umbrellas; White Spirits"
9,575,336.96,10,"Skincare (Female Only); Alcohol Free Drinks; Outdoor Pursuits Apparel; Female Clothing (Black Pepper); Floor Cleaning Appliances; Children's Television; Blinds & Window Furnishings; Mental Performance Supplements; Chips, Crisps, Crackers; Indoor & Outdoor Cleaners"
